Genes	WT_1	WT_2	WT_3	ncs2_1	ncs2_2	ncs2_3	uba4_1	uba4_2	uba4_3
YCL001W-B	0	0	0	0	0	0	0	0	0
YCL002C	3	6	3	6	5	1	5	9	5
YCL004W	4	17	1	15	11	4	11	10	8
YCL005W	17	29	9	21	17	8	37	28	28
YCL005W-A	138	153	65	183	78	27	191	151	99
YCL008C	37	56	23	67	41	13	62	50	31
YCL009C	509	693	221	858	535	159	949	665	575
YCL010C	24	52	11	28	22	14	47	24	22
YCL011C	104	132	35	173	102	32	179	110	103
YCL012C	8	8	1	13	8	4	12	7	9
YCL014W	100	154	23	141	90	25	154	95	77
YCL016C	45	55	14	51	30	22	71	31	48
YCL017C	227	301	85	444	223	76	467	283	208
YCL018W	650	1095	266	663	349	131	718	406	347
YCL021W-A	5	7	0	7	6	0	5	0	2
YCL024W	45	50	16	58	30	9	47	36	23
YCL025C	109	172	39	244	94	31	141	51	29
YCL026C-A	1	0	0	1	0	0	1	0	1
YCL026C-B	125	158	52	127	122	33	233	170	102
YCL027W	5	3	2	12	3	1	19	11	14
